pageid,pagetitle,label,revisionid,timestamp,comment,parentid
30727343,Q29068568,Tsetserleg Sum,2702235,2019-05-15T23:53:36Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",766180778
30727345,Q29068570,Sungai Semenang,2702235,2019-05-15T23:53:40Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",766647850
30727349,Q29068575,Tosontsengel Sum,2702235,2019-05-15T23:53:48Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",766180791
30727351,Q29068577,Bukit Semeliang,2702235,2019-05-15T23:53:52Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",771015402
30727353,Q29068579,Quebrada Saunts,2702235,2019-05-15T23:53:56Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",772583600
30727356,Q29068582,Rio Candue,2702235,2019-05-15T23:54:00Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",775512553
30727357,Q29068583,Erdenebulgan Sum,2702235,2019-05-15T23:54:02Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",771015414
30727358,Q29068584,Sungai Semai,2702235,2019-05-15T23:54:03Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",775512400
30727363,Q29068589,Canal de Pampanal,2702235,2019-05-15T23:54:13Z,"b'/* wbsetdescription-add:1|ast */ p\xc3\xa1xina de dixebra, #quickstatements; [[:toollabs:quickstatements/#/batch/12876|batch #12876]] by [[User:Amasuela|]]'",772583624
30727364,Q29068590,Sungai Sembah,2702235,2019-05-15T23:54:15Z,b'',766180803
